,Court,Last Hearing Date,Court ID
5078,Bedford,05/22/2020,019C
5085,Bedford,10/23/2020,019C
5107,Bedford,12/18/2020,019C
5129,Bedford,03/17/2020,019C
5134,Bedford,04/10/2020,019C
5139,Bedford,09/04/2020,019C
5266,Bedford,03/31/2020,019C
5323,Bland,10/20/2020,021C
5324,Bland,09/01/2020,021C
5331,Bland,03/19/2020,021C
5332,Bland,06/08/2020,021C
5333,Bland,08/18/2020,021C
5335,Bland,11/17/2020,021C
5338,Bland,02/04/2020,021C
5339,Bland,07/07/2020,021C
5344,Bland,12/14/2020,021C
5345,Bland,02/18/2020,021C
5347,Bland,03/03/2020,021C
5348,Bland,01/21/2020,021C
5349,Bland,09/14/2020,021C
5351,Botetourt,08/03/2020,023C
5354,Botetourt,11/12/2020,023C
5355,Botetourt,11/24/2020,023C
5356,Botetourt,10/15/2020,023C
5357,Botetourt,09/30/2020,023C
5358,Botetourt,10/19/2020,023C
5359,Botetourt,06/18/2020,023C
5360,Botetourt,01/07/2020,023C
5361,Botetourt,05/26/2020,023C
5362,Botetourt,05/28/2020,023C
5364,Botetourt,11/19/2020,023C
5365,Botetourt,07/14/2020,023C
5366,Botetourt,01/09/2020,023C
